INSERT INTO "producto" ("nombre", "categoria", "subcategoria", "subsubcategoria", "marca", "peso", "descripcion", "precio", "imgpath1", "imgpath2", "imgpath3") VALUES
('Manzana', 'Frutas', 'Frutas Frescas', NULL, 'Marca A', '1 kg', 'Manzana roja fresca', 2.50,'Manzana_1.png', 'Manzana_2.png', 'Manzana_3.png'),
('Banana', 'Frutas', 'Frutas Frescas', NULL, 'Marca B', '1 kg', 'Banana amarilla madura', 1.80,'Banana_1.png', 'Banana_2.png', 'Banana_3.png'),
('Pera', 'Frutas', 'Frutas Frescas', NULL, 'Marca A', '1 kg', 'Pera jugosa y dulce', 2.75,'Pera_1.png', 'Pera_2.png', 'Pera_3.png'),
('Leche', 'Lácteos', 'Leche', 'Entera', 'Marca C', '1 litro', 'Leche entera pasteurizada', 1.20,'Leche_1.png', 'Leche_2.png', 'Leche_3.png'),
('Yogurt', 'Lácteos', 'Yogurt', 'Natural', 'Marca D', '500 g', 'Yogurt natural sin azúcar', 1.50,'Yogurt_1.png', 'Yogurt_2.png', 'Yogurt_3.png'),
('Queso', 'Lácteos', 'Quesos', 'Fresco', 'Marca E', '250 g', 'Queso fresco de cabra', 3.40,'Queso_1.png', 'Queso_2.png', 'Queso_3.png'),
('Pan', 'Panadería', 'Panes', 'Integral', 'Marca F', '500 g', 'Pan integral con semillas', 2.20,'Pan_1.png', 'Pan_2.png', 'Pan_3.png'),
('Croissant', 'Panadería', 'Pasteles', 'Dulce', 'Marca G', '100 g', 'Croissant de mantequilla', 1.00,'Croissant_1.png', 'Croissant_2.png', 'Croissant_3.png'),
('Bagel', 'Panadería', 'Panes', 'Clásico', 'Marca H', '100 g', 'Bagel clásico', 0.90,'Bagel_1.png', 'Bagel_2.png', 'Bagel_3.png'),
('Arroz', 'Cereales', 'Arroz', 'Integral', 'Marca I', '1 kg', 'Arroz integral orgánico', 1.80,'Arroz_1.png', 'Arroz_2.png', 'Arroz_3.png'),
('Harina', 'Cereales', 'Harinas', 'Trigo', 'Marca J', '1 kg', 'Harina de trigo todo uso', 1.20,'Harina_1.png', 'Harina_2.png', 'Harina_3.png'),
('Pasta', 'Cereales', 'Pasta', 'Spaghetti', 'Marca K', '500 g', 'Spaghetti de trigo duro', 1.00,'Pasta_1.png', 'Pasta_2.png', 'Pasta_3.png'),
('Aceite de Oliva', 'Aceites', 'Aceites Vegetales', NULL, 'Marca L', '500 ml', 'Aceite de oliva extra virgen', 5.00,'Aceite de Oliva_1.png', 'Aceite de Oliva_2.png', 'Aceite de Oliva_3.png'),
('Mantequilla', 'Aceites', 'Mantequillas', NULL, 'Marca M', '200 g', 'Mantequilla sin sal', 2.50,'Mantequilla_1.png', 'Mantequilla_2.png', 'Mantequilla_3.png'),
('Miel', 'Endulzantes', 'Mieles', NULL, 'Marca N', '250 g', 'Miel de abeja pura', 3.75,'Miel_1.png', 'Miel_2.png', 'Miel_3.png'),
('Azúcar', 'Endulzantes', 'Azúcar', 'Blanca', 'Marca O', '1 kg', 'Azúcar blanca refinada', 1.10,'Azúcar_1.png', 'Azúcar_2.png', 'Azúcar_3.png'),
('Sal', 'Condimentos', 'Sales', 'Marina', 'Marca P', '500 g', 'Sal marina fina', 0.80,'Sal_1.png', 'Sal_2.png', 'Sal_3.png'),
('Pimienta', 'Condimentos', 'Especias', 'Negra', 'Marca Q', '50 g', 'Pimienta negra molida', 1.50,'Pimienta_1.png', 'Pimienta_2.png', 'Pimienta_3.png'),
('Canela', 'Condimentos', 'Especias', 'Molida', 'Marca R', '50 g', 'Canela molida', 1.20,'Canela_1.png', 'Canela_2.png', 'Canela_3.png'),
('Tomate', 'Verduras', 'Vegetales Frescos', NULL, 'Marca S', '1 kg', 'Tomate rojo maduro', 2.30,'Tomate_1.png', 'Tomate_2.png', 'Tomate_3.png'),
('Zanahoria', 'Verduras', 'Vegetales Frescos', NULL, 'Marca T', '1 kg', 'Zanahoria fresca', 1.50,'Zanahoria_1.png', 'Zanahoria_2.png', 'Zanahoria_3.png'),
